line,subject,tier2,tier3,tier1,tmin,tmax
1,CF36WOM_12,noise,?,{noise},0,0.802
2,CF36WOM_12,clause1_exp-s1,exp,"""allora Maria mi vuoi parlare della tua famiglia?""",0.802,3.311
3,CF36WOM_12,silV-s,?,(.)v,3.311,3.945
4,CF36WOM_12,fil,?,:e,3.945,4.218
5,CF36WOM_12,clause1-s1,sub,si,4.218,4.608
6,CF36WOM_12,silV-e,?,(.)v,4.608,5.689
7,CF36WOM_12,fil,?,:a,5.689,5.953
8,CF36WOM_12,clause2_exp-s1,exp,"""mi dici"" ",5.953,6.563
9,CF36WOM_12,len_exp,?,:::i_exp,6.563,6.804
10,CF36WOM_12,clause2_exp-s2,exp,"""sei madre di qualche bambi/""",6.804,8.306
11,CF36WOM_12,len_exp,?,:::i_exp,8.306,8.472
12,CF36WOM_12,ove,?,[],8.472,8.774
13,CF36WOM_12,clause2-s1,sub,due,8.774,8.968
14,CF36WOM_12,len,f,:::e,8.968,9.082
15,CF36WOM_12,clause2-s2,sub,baimb- bambini sono grandi ,9.082,10.803
16,CF36WOM_12,lau,?,[l],10.803,11.08
17,CF36WOM_12,clause2-s3,sub,tutti e due ,11.08,11.738
18,CF36WOM_12,sil,?,(.),11.738,11.892
19,CF36WOM_12,clause3-s1,sub,due maschi,11.892,12.651
20,CF36WOM_12,silV-e,?,(.)v,12.651,13.653
21,CF36WOM_12,clause3_exp-s1,exp,"""quanti anni hanno?""",13.653,14.651
22,CF36WOM_12,fil,?,:o,14.651,14.773
23,CF36WOM_12,clause4-s1,sub, il primo 22 e il secondo 18,14.773,17.571
24,CF36WOM_12,clause4_exp-s1,exp,"""che fanno loro?""",17.571,18.476
25,CF36WOM_12,clause5-s1,sub,il primo,18.476,19.36
26,CF36WOM_12,len,f,:::o,19.36,19.505
27,CF36WOM_12,clause5-s2,sub,sta al terzo anno chimico,19.505,20.172
28,CF36WOM_12,len,s,:::a,20.172,20.308
29,CF36WOM_12,clause5-s3,sub,an,20.308,20.558
30,CF36WOM_12,len,m,:::n,20.558,20.699
31,CF36WOM_12,clause5-s4,sub,no,20.699,20.848
32,CF36WOM_12,len,f,:::o,20.848,21.164
33,CF36WOM_12,clause5-s5,sub,chimico,21.164,21.875
34,CF36WOM_12,sil,?,(.),21.875,22.635
35,CF36WOM_12,fil,?,:e,22.635,22.944
36,CF36WOM_12,clause5-s6,sub,il secondo invece il quarto anno scientifico,22.944,25.419
37,CF36WOM_12,silV-e,?,(.)v,25.419,25.617
38,CF36WOM_12,clause5_exp-s1,exp,"""che tipo di ragazzi sono"" ",25.617,27.126
39,CF36WOM_12,len_exp,?,:::o_exp,27.126,27.324
40,CF36WOM_12,clause5_exp-s2,exp,"""i tuoi figli?""",27.324,28.117
41,CF36WOM_12,silV-s,?,(.)v,28.117,28.917
42,CF36WOM_12,clause6-s1,sub,fin d'oggi nessun proble/,28.917,30.177
43,CF36WOM_12,len,m,:::e,30.177,30.33
44,CF36WOM_12,clause6-s2,sub,ma,30.33,30.497
45,CF36WOM_12,clause7-s1,sub,studiano ringraziando il Di/,30.497,32.422
46,CF36WOM_12,len,m,:::i,32.422,32.558
47,CF36WOM_12,clause7-s2,sub,o,32.558,32.773
48,CF36WOM_12,fil,?,:e,32.773,33.715
49,CF36WOM_12,clause8-s1,sub,niente,33.715,34.395
50,CF36WOM_12,fil,?,:m,34.395,34.711
51,CF36WOM_12,sil,?,(.),34.711,35.071
52,CF36WOM_12,clause8-s2,sub,cuor di mamma tranquilli,35.071,36.432
53,CF36WOM_12,silV-e,?,(.)v,36.432,37.122
54,CF36WOM_12,clause6_exp-s1,exp,"""e mi vuoi parlare"" ",37.122,38.132
55,CF36WOM_12,sil_exp,?,:::e_exp,38.132,38.514
56,CF36WOM_12,clause6_exp-s2,exp,"""di un""",38.514,39.062
57,CF36WOM_12,len_exp,?,:::n_exp,39.062,39.48
58,CF36WOM_12,clause6_exp-s3,exp,"""un film che ti piace particolarmente di un canta/""",39.48,42.234
59,CF36WOM_12,len_exp,?,:::a_exp,42.234,42.453
60,CF36WOM_12,clause6_exp-s4,exp,"""ante""",42.453,42.743
61,CF36WOM_12,len_exp,?,:::e_exp,42.743,43.083
62,CF36WOM_12,silV-s,?,(.)v,43.083,43.852
63,CF36WOM_12,fil,?,:e,43.852,44.088
64,CF36WOM_12,clause9-s1,sub,a me piacciono molto i cantanti anni 60 tipo i Pooh,44.088,46.893
65,CF36WOM_12,sil,?,(.),46.893,47.48
66,CF36WOM_12,clause10-s1,sub,sono antiquariata ma,47.48,48.718
67,CF36WOM_12,sil,?,(.),48.718,49.192
68,CF36WOM_12,clause9-s2,sub,i Pooh,49.192,49.788
69,CF36WOM_12,fil,?,:e,49.788,49.933
70,CF36WOM_12,clause9-s3,sub,i Dic Dic ,49.933,51.255
71,CF36WOM_12,clause11-s1,sub,mi piacciono tanto,51.255,52.368
72,CF36WOM_12,clause11-s2,sub,sono romantica,52.368,53.264
73,CF36WOM_12,silV-e,?,(.)s,53.264,53.769
74,CF36WOM_12,len_exp,?,:::e_exp,53.769,54.015
75,CF36WOM_12,clause7_exp-s1,exp,"""e tuo marito che lavoro fa?""",54.015,55.602
76,CF36WOM_12,clause12-s1,sub,lui e' un pescatore,55.602,56.791
77,CF36WOM_12,silV-e,?,(.)v,56.791,57.59
78,CF36WOM_12,clause8_exp-s1,exp,"""e come vivi il fatto che sia un pescato?""",57.59,60.425
79,CF36WOM_12,ove,?,[],60.425,60.787
80,CF36WOM_12,clause12-s1,sub,quilla,60.787,61.194
81,CF36WOM_12,sil,?,(.),61.194,61.557
82,CF36WOM_12,clause12-s2,sub,tranquilla,61.557,62.23
83,CF36WOM_12,sil,?,(.),62.23,63.063
84,CF36WOM_12,clause9_exp-s1,exp,"""e' un lavoro duro?""",63.063,64.199
85,CF36WOM_12,len_exp,?,:::o_exp,64.199,64.366
86,CF36WOM_12,clause13-s1,sub,durissimo,64.366,65.255
87,CF36WOM_12,fil,?,:e,65.255,66.08
